Of course. Here is a comprehensive and complete list of photo editing features and capabilities, organized logically from foundational adjustments to advanced professional tools.

### ✂️ 1. Geometry & Composition (Transformations)

These tools focus on changing the shape, perspective, and overall framing of an image.

| Feature | Sub-Feature | Description |
| :--- | :--- | :--- |
| **Crop** | Manual Crop | Freely dragging the boundaries of the crop frame to remove unwanted edges of the image. |
| | Aspect Ratio Crop | Applying or constraining to a specific ratio (e.g., 1:1 for Instagram, 16:9, 4:3) for various output formats. |
| | Rule of Thirds Grid | Overlays a 3x3 grid, with adjustable visibility, to assist in composing the shot according to the rule of thirds. |
| | Golden Ratio / Spiral | Overlays a golden-ratio-based grid or spiral for advanced compositional guidance. |
| **Rotate & Flip** | Rotate | Turning the image clockwise or counterclockwise by 90-degree increments. |
| | Flip | Creating a mirror image, either horizontally or vertically. |
| | Free Rotate | Using a slider to rotate the image to any arbitrary angle. |
| **Straighten** | Auto-Straighten | A one-click algorithm that analyzes the image and corrects its horizon line automatically. |
| | Manual Angle | A slider for fine-tuning the rotation angle, measured in degrees or radians, to manually straighten a photo. |
| **Perspective Correction (Keystone)** | Vertical Keystone | Corrects the "falling" effect of vertical lines (e.g., buildings leaning backward). |
| | Horizontal Keystone | Corrects the leaning of horizontal lines. |
| | Guided / Anchor Points | Setting two or more reference lines to guide the software’s automatic perspective correction algorithm. |
| **Lens Correction** | Automatic Lens Profile | Selecting your specific camera and lens from a database to automatically correct its unique geometric distortions (barrel/pincushion). |
| | Manual Distortion | A slider to manually adjust for barrel (convex) or pincushion (concave) distortion. |
| | Chromatic Aberration | A check-box to remove the colored fringing (purple/green halos) caused by lens imperfections, usually along high-contrast edges. |
| | Defringe | Targeted tools to manually select and remove the color of the fringe (typically purple or green) that remains. |
| **Resize / Scale** | Resample / Resize | Changing the pixel dimensions (width & height) of the image, used for social media, printing, or display. |
| | Up-Scaling | Increasing the image size, often leveraging AI to intelligently fill in new detail without causing blur or pixelation. |
| | Down-Scaling | Reducing the pixel dimensions, often used to save storage space, ensure faster uploads, or fit specific display constraints. |

### 🎨 2. Image & Exposure Adjustments (Global Tone)

These are the primary tools for controlling the brightness and tonal range of the entire image.

| Feature | Sub-Feature | Description |
| :--- | :--- | :--- |
| **Exposure** | Exposure | Controls the overall brightness of the image. Increasing it brightens all tones, decreasing it darkens all. |
| **Brightness** | Brightness | A simpler control that adds a constant value to all pixels. Unlike exposure, it can easily clip highlights. |
| **Contrast** | Contrast | Controls the difference in brightness between the lightest and darkest parts. Higher contrast makes whites whiter and blacks blacker. |
| **Highlights** | Highlights | Selectively brightens or, more commonly, darkens the bright parts of the photo to recover detail. |
| **Shadows** | Shadows | Selectively brightens the dark parts of an image to reveal detail that may be hidden. |
| **Whites** | Whites | Sets the white point of the image. Increasing this brightens only the lightest pixels. |
| **Blacks** | Blacks | Sets the black point of the image. Decreasing this darkens only the darkest pixels. |
| **Histogram & Scopes** | Luminance Histogram | A graphical representation of the distribution of brightness values across the entire image, used to identify clipping. |
| | RGB Parade | Displays the Red, Green, and Blue channels as three independent histograms side-by-side for precise color balancing. |
| | Vectorscope | A circular graph showing the color saturation and hue of the entire image, essential for video and professional color grading. |
| | Waveform Monitor | A display that shows the brightness of the image from left to right, providing a more detailed look at exposure across the frame. |
| | Zebra Stripes | An exposure assist warning that overlays the image to clearly mark pixels that are overexposed (clipped). |

### 🎨 3. Advanced Tonal & Lighting Controls (Selective / Curves)

Once basic adjustments are understood, these tools provide finer, non-linear control over the tones.

| Feature | Sub-Feature | Description |
| :--- | :--- | :--- |
| **Curves Tool** | RGB Curve | A graph mapping input to output brightness. Creating a "S" shape increases contrast, while bending different parts of the curve adjusts brightness for specific tonal ranges (e.g., lifting only the shadows). |
| | Individual Channel Curves | Similar to the RGB curve, but applied to the Red, Green, or Blue channels independently for precise color correction. |
| **Levels Tool** | Input Levels | Contains sliders for black point, mid-tones (gamma), and white point to redistribute the image's brightness values. |
| | Output Levels | Controls the brightness of the darkest and lightest parts of the image, effectively reducing overall contrast. |
| **Tone Mapping** | Tone Mapping | A dedicated tool that compresses a high dynamic range (HDR) image's luminosity into the standard dynamic range of a monitor or print while preserving local contrast and detail. |
| **Local/Selective Adjustments** | Digital Graduated Filters | Simulates a physical graduated neutral density filter, allowing you to apply adjustments (e.g., darken the sky) along a linear gradient. |
| | Radial / Circular Filters | Allows you to create an ellipse to isolate and apply adjustments to a portion of an image, such as brightening a subject's face. |

### 🎨 4. Color Adjustments (Global & Selective)

These tools allow you to modify color aspects, from basic mood changes to professional-grade grading.

| Feature | Sub-Feature | Description |
| :--- | :--- | :--- |
| **White Balance** | Temperature (Kelvin) | Adjusts the warmth or coolness of the image (blue to yellow). Measured in Kelvin; lower values are cooler, higher are warmer. |
| | Tint | Adjusts the green-magenta balance to correct color casts from fluorescent or other artificial light sources. |
| | Eye-Dropper Picker | Click on a neutral (white or gray) object in the image to instantly set the correct white balance. |
| | Presets | Specific settings for common lighting conditions, including Daylight, Cloudy, Shade, Tungsten, Fluorescent, and Flash. |
| **Basic Color** | Saturation | Increases or decreases the intensity of *all* colors uniformly. High saturation can lead to garish, unnatural results. |
| | Vibrance | A "smart" saturation tool that increases the intensity of the less-saturated colors while protecting skin tones. |
| | Hue | A "global" hue adjustment, which would shift all colors in the image to another color in the spectrum, a less common but available tool. |
| **Advanced Color Grading** | HSL (Hue, Saturation, Luminance) | A powerful panel that allows you to target specific color ranges (e.g., making the sky 'bluer' without making skin tones more yellow) and adjust their hue, saturation, or brightness individually. |
